id,title,kind,unit,weekly_sessions,weekly_minutes,weekly_amount,total_minutes,deadline,source,keywords,baseline,baseline_note,status,created,note
aerotruba,Аэротруба,тренировка,,,,,,,skydive:труба,"труб,vacuum,flow,goodsky,🌪",5520,"оценка налёта до января 2024, всего около 120 ч на сентябрь 2026",active,2026-09-04,
pryzhki,Прыжки,тренировка,прыжок,,,,,,skydive:прыжки,"прыж,goose tribe,🪂,🪿,dzk,коломн",,,active,2026-09-04,
zal,Зал,тренировка,,,,,,,силовая,"gym,зал,🏋,ddx",,,active,2026-09-04,
pdd,ПДД,учёба,тест,,210,,,,,пдд,,,active,2026-09-04,"теория к экзамену на права; норма 210 минут в неделю (по 30 в день), срок пока не назначен"
