date,account,amount,rate_rub
2024-05-31,mts,3.12246e+06,
2024-05-31,raif,0,
2024-05-31,t-bank-debit,50438,
2024-05-31,t-bank-kreditka,-8875,
2024-05-31,t-bank-nakopitelnyi,0,
2024-05-31,tinkoff-broker,8.96792e+06,
2024-06-12,alfa,6.46643e+06,
2024-06-12,cash-rub,10000,
2024-06-12,cash-usd,6600,89.1
2024-06-12,ff,84557,
2024-06-12,mts,3.99526e+06,
2024-06-12,raif,0,
2024-06-12,t-bank-debit,39020,
2024-06-12,t-bank-kreditka,-56230,
2024-06-12,t-bank-nakopitelnyi,0,
2024-06-12,tinkoff-broker,8.86839e+06,
2024-06-18,alfa,6.46643e+06,
2024-06-18,cash-rub,10000,
2024-06-18,cash-usd,6600,89.1
2024-06-18,ff,84557,
2024-06-18,mts,3.88187e+06,
2024-06-18,raif,0,
2024-06-18,t-bank-debit,31549,
2024-06-18,t-bank-kreditka,-56230,
2024-06-18,t-bank-nakopitelnyi,0,
2024-06-18,tinkoff-broker,9.07466e+06,
2024-06-30,alfa,6.4312e+06,
2024-06-30,cash-rub,90000,
2024-06-30,cash-usd,6600,89.1
2024-06-30,ff,84557,
2024-06-30,mts,3.67013e+06,
2024-06-30,raif,0,
2024-06-30,t-bank-debit,38023,
2024-06-30,t-bank-kreditka,-106,
2024-06-30,t-bank-nakopitelnyi,0,
2024-06-30,tinkoff-broker,8.89646e+06,
2024-07-09,alfa,6.43036e+06,
2024-07-09,cash-rub,215000,
2024-07-09,cash-usd,6600,89.1
2024-07-09,ff,84557,
2024-07-09,mts,3.65275e+06,
2024-07-09,raif,0,
2024-07-09,t-bank-debit,31847,
2024-07-09,t-bank-kreditka,-641,
2024-07-09,t-bank-nakopitelnyi,0,
2024-07-09,tinkoff-broker,9.16126e+06,
2024-08-09,alfa,6.43892e+06,
2024-08-09,cash-rub,670000,
2024-08-09,cash-usd,6300,89.1
2024-08-09,ff,65766,
2024-08-09,mts,3.52437e+06,
2024-08-09,raif,0,
2024-08-09,t-bank-debit,40986,
2024-08-09,t-bank-kreditka,-641,
2024-08-09,t-bank-nakopitelnyi,0,
2024-08-09,tinkoff-broker,8.4931e+06,
2024-08-31,alfa,6.31892e+06,
2024-08-31,cash-rub,425000,
2024-08-31,cash-usd,6300,89.1
2024-08-31,ff,56487,
2024-08-31,mts,3.34324e+06,
2024-08-31,raif,0,
2024-08-31,t-bank-debit,43353,
2024-08-31,t-bank-kreditka,-4791,
2024-08-31,t-bank-nakopitelnyi,0,
2024-08-31,tinkoff-broker,8.17314e+06,
2024-09-20,alfa,6.28277e+06,
2024-09-20,cash-rub,820000,
