date,end_date,tracker,title,event_id,note
2026-10-16,2026-10-19,aerotruba,"Трубный кемп с Валерой Конновым, GoodSky",guacrb2l5dqmakd5mcadob7na8,
2026-11-27,2026-11-30,aerotruba,"Трубный кемп с Валерой Конновым, GoodSky",e9n9315j9070hqet589vv4pbqc,
